date,symbol,selected
2025-01-12,DOGEUSDT,True
2025-01-12,SUIUSDT,True
2025-01-13,DOGEUSDT,True
2025-01-13,SUIUSDT,True
2025-01-14,DOGEUSDT,True
2025-01-14,SUIUSDT,True
2025-01-15,DOGEUSDT,True
2025-01-15,SUIUSDT,True
2025-01-16,DOGEUSDT,True
2025-01-16,SUIUSDT,True
2025-01-17,DOGEUSDT,True
2025-01-17,SUIUSDT,True
2025-01-18,DOGEUSDT,True
2025-01-18,SUIUSDT,True
2025-01-19,DOGEUSDT,True
2025-01-19,SUIUSDT,True
2025-01-20,DOGEUSDT,True
2025-01-20,SUIUSDT,True
2025-01-21,DOGEUSDT,True
2025-01-21,SUIUSDT,True
2025-01-22,DOGEUSDT,True
2025-01-22,SUIUSDT,True
2025-01-23,DOGEUSDT,True
2025-01-23,SUIUSDT,True
2025-01-24,DOGEUSDT,True
2025-01-24,SUIUSDT,True
2025-01-25,DOGEUSDT,True
2025-01-25,SUIUSDT,True
2025-01-26,DOGEUSDT,True
